Browser,Timestamp,Power(mW)
Brave,1771803449,1259
Brave,1771803450,4574
Brave,1771803451,5970
Brave,1771803452,409
Brave,1771803453,801
Brave,1771803454,1362
Brave,1771803455,1464
Brave,1771803456,932
Brave,1771803457,729
Brave,1771803458,1344
Brave,1771803459,1933
Brave,1771803460,551
Brave,1771803461,109
Brave,1771803462,84
Brave,1771803463,72
Brave,1771803464,86
Brave,1771803465,138
Brave,1771803466,168
Brave,1771803467,457
Brave,1771803468,960
Brave,1771803469,128
Brave,1771803470,255
Brave,1771803471,104
Brave,1771803472,96
Brave,1771803473,511
Brave,1771803474,88
Brave,1771803475,122
Brave,1771803476,1323
Brave,1771803477,1109
Brave,1771803478,564
Brave,1771803479,204
Brave,1771803480,290
Brave,1771803481,711
Brave,1771803482,143
Brave,1771803483,120
Brave,1771803484,216
Brave,1771803486,591
Brave,1771803487,2260
Brave,1771803488,1862
Brave,1771803489,680
Brave,1771803490,785
Brave,1771803491,205
Brave,1771803492,1136
Brave,1771803493,2204
Brave,1771803494,2423
Brave,1771803495,261
Brave,1771803496,1511
Brave,1771803497,302
Brave,1771803498,586
Brave,1771803499,198
Brave,1771803500,88
Brave,1771803501,212
Brave,1771803502,1249
Brave,1771803503,645
Brave,1771803504,732
Brave,1771803505,432
Brave,1771803506,153
Brave,1771803507,942
Brave,1771803508,518
Brave,1771803509,103
Brave,1771803510,118
Brave,1771803511,2907
Brave,1771803512,1513
Brave,1771803513,1343
Brave,1771803514,1197
Brave,1771803515,1247
Brave,1771803516,1114
Brave,1771803517,1519
Brave,1771803518,2088
Brave,1771803519,1823
Brave,1771803520,1274
Brave,1771803521,1186
Brave,1771803522,1341
Brave,1771803523,1296
Brave,1771803524,1261
Brave,1771803525,1218
Brave,1771803526,1364
Brave,1771803527,1377
Brave,1771803528,1652
Brave,1771803529,1174
Brave,1771803530,1093
Brave,1771803531,1462
Brave,1771803532,1135
Brave,1771803533,1652
Brave,1771803534,1238
Brave,1771803535,1192
Brave,1771803537,1187
Brave,1771803538,1350
Brave,1771803539,1606
Brave,1771803540,1235
Brave,1771803541,1159
Brave,1771803542,1142
Brave,1771803543,1451
Brave,1771803544,1196
Brave,1771803545,1212
Chrome,1771803583,1784
Chrome,1771803584,1208
Chrome,1771803585,1166
Chrome,1771803586,1179
Chrome,1771803587,1201
Chrome,1771803588,1399
Chrome,1771803589,2923
Chrome,1771803590,5435
Chrome,1771803591,235
Chrome,1771803592,1867
Chrome,1771803593,649
Chrome,1771803594,156
Chrome,1771803595,474
Chrome,1771803596,2281
Chrome,1771803597,1171
Chrome,1771803599,1770
Chrome,1771803600,1262
Chrome,1771803601,1752
Chrome,1771803602,734
Chrome,1771803603,284
Chrome,1771803604,144
Chrome,1771803605,103
Chrome,1771803606,617
Chrome,1771803607,143
Chrome,1771803608,289
Chrome,1771803609,384
Chrome,1771803610,101
Chrome,1771803611,594
Chrome,1771803612,83
Chrome,1771803613,133
Chrome,1771803614,4075
Chrome,1771803615,1692
Chrome,1771803616,269
Chrome,1771803617,526
Chrome,1771803618,128
Chrome,1771803619,243
Chrome,1771803620,752
Chrome,1771803621,200
Chrome,1771803622,295
Chrome,1771803623,749
Chrome,1771803624,1700
Chrome,1771803625,587
Chrome,1771803626,108
Chrome,1771803627,196
Chrome,1771803628,80
Chrome,1771803629,323
Chrome,1771803630,1137
Chrome,1771803631,232
Chrome,1771803632,86
Chrome,1771803633,263
Chrome,1771803634,2153
Chrome,1771803635,696
Chrome,1771803636,221
Chrome,1771803637,128
Chrome,1771803638,1108
Chrome,1771803639,131
Chrome,1771803640,655
Chrome,1771803641,73
Chrome,1771803642,113
Chrome,1771803643,1840
Chrome,1771803644,557
Chrome,1771803645,220
Chrome,1771803647,156
Chrome,1771803648,213
Chrome,1771803649,190
Chrome,1771803650,156
Chrome,1771803651,630
Chrome,1771803652,212
Chrome,1771803653,1424
Chrome,1771803654,2492
Chrome,1771803655,2401
Chrome,1771803656,158
Chrome,1771803657,1240
Chrome,1771803658,239
Chrome,1771803659,191
Chrome,1771803660,202
Chrome,1771803661,594
Chrome,1771803662,734
Chrome,1771803663,1590
Chrome,1771803664,611
Chrome,1771803665,151
Chrome,1771803666,301
Chrome,1771803667,333
Chrome,1771803668,533
Chrome,1771803669,291
Chrome,1771803670,219
Chrome,1771803671,821
Chrome,1771803672,285
Chrome,1771803673,109
Chrome,1771803674,109
Chrome,1771803675,422
Chrome,1771803676,244
Chrome,1771803677,194
Chrome,1771803678,86
Chrome,1771803679,204
Chrome,1771803680,532
Chrome,1771803681,212
Chrome,1771803682,335
Chrome,1771803683,635
Chrome,1771803684,237
Chrome,1771803685,260
Chrome,1771803686,126
Chrome,1771803687,446
Chrome,1771803688,81
Chrome,1771803689,174
Chrome,1771803690,618
Chrome,1771803692,176
Chrome,1771803693,218
Chrome,1771803694,137
Chrome,1771803695,106
Chrome,1771803696,254
Chrome,1771803697,147
Chrome,1771803698,186
Chrome,1771803699,583
Chrome,1771803700,591
Firefox,1771803737,903
Firefox,1771803738,859
Firefox,1771803739,868
Firefox,1771803740,763
Firefox,1771803741,3613
Firefox,1771803742,4210
Firefox,1771803744,3100
Firefox,1771803745,2442
Firefox,1771803746,3621
Firefox,1771803747,2324
Firefox,1771803748,2135
Firefox,1771803749,2208
Firefox,1771803750,2256
Firefox,1771803751,2612
Firefox,1771803752,2591
Firefox,1771803753,4529
Firefox,1771803754,1117
Firefox,1771803755,1383
Firefox,1771803756,2019
Firefox,1771803757,790
Firefox,1771803758,1293
Firefox,1771803759,1953
Firefox,1771803760,880
Firefox,1771803761,1393
Firefox,1771803762,3936
Firefox,1771803763,6299
Firefox,1771803764,4677
Firefox,1771803765,1340
Firefox,1771803766,1678
Firefox,1771803767,841
Firefox,1771803768,1738
Firefox,1771803769,739
Firefox,1771803770,398
Firefox,1771803771,3442
Firefox,1771803772,4644
Firefox,1771803773,3619
Firefox,1771803774,3992
Firefox,1771803775,1667
Firefox,1771803776,1327
Firefox,1771803777,2833
Firefox,1771803778,750
Firefox,1771803779,1047
Firefox,1771803780,319
Firefox,1771803781,1349
Firefox,1771803782,191
Firefox,1771803783,659
Firefox,1771803784,552
Firefox,1771803785,1080
Firefox,1771803786,255
Firefox,1771803787,2307
Firefox,1771803788,3342
Firefox,1771803789,324
Firefox,1771803790,1137
Firefox,1771803791,1039
Firefox,1771803792,179
Firefox,1771803793,3074
Firefox,1771803794,5060
Firefox,1771803796,7871
Firefox,1771803797,5014
Firefox,1771803798,1867
Firefox,1771803799,1009
Firefox,1771803800,1325
Firefox,1771803801,1112
Firefox,1771803802,1857
Firefox,1771803803,1171
Firefox,1771803804,2105
Firefox,1771803805,2392
Firefox,1771803806,1533
Firefox,1771803807,596
Firefox,1771803808,1023
Firefox,1771803809,685
Firefox,1771803810,562
Firefox,1771803811,867
Firefox,1771803812,1411
Firefox,1771803813,463
Firefox,1771803814,242
Firefox,1771803815,258
Firefox,1771803816,624
Firefox,1771803817,213
Firefox,1771803818,157
Firefox,1771803819,1149
Firefox,1771803820,872
Firefox,1771803821,446
Firefox,1771803822,1112
Firefox,1771803823,802
Firefox,1771803824,3139
Firefox,1771803825,1905
Firefox,1771803826,1748
Firefox,1771803827,4769
Firefox,1771803828,1822
Firefox,1771803829,1756
Firefox,1771803830,1669
Firefox,1771803831,1956
Firefox,1771803832,1842
Firefox,1771803833,2140
Firefox,1771803834,1822
Firefox,1771803835,1642
Firefox,1771803836,1611
Firefox,1771803837,1562
Firefox,1771803838,1669
Firefox,1771803839,1652
Firefox,1771803840,1570
Firefox,1771803841,2052
Firefox,1771803842,1570
Firefox,1771803843,1532
Firefox,1771803844,1707
Firefox,1771803845,1629
Firefox,1771803847,1798
Firefox,1771803848,1913
Firefox,1771803849,2027
Firefox,1771803850,1601
Firefox,1771803851,1686
Firefox,1771803852,2200
Firefox,1771803853,1555
Firefox,1771803854,1553
Firefox,1771803855,1664
Edge,1771803893,1369
Edge,1771803894,1766
Edge,1771803895,1279
Edge,1771803896,1145
Edge,1771803897,1221
Edge,1771803898,1586
Edge,1771803899,4230
Edge,1771803900,1330
Edge,1771803901,872
Edge,1771803902,1230
Edge,1771803903,843
Edge,1771803904,928
Edge,1771803905,2461
Edge,1771803906,1436
Edge,1771803907,2313
Edge,1771803908,2537
Edge,1771803909,669
Edge,1771803910,351
Edge,1771803911,692
Edge,1771803912,591
Edge,1771803913,88
Edge,1771803915,123
Edge,1771803916,99
Edge,1771803917,659
Edge,1771803918,150
Edge,1771803919,86
Edge,1771803920,454
Edge,1771803921,4545
Edge,1771803922,2403
Edge,1771803923,535
Edge,1771803924,817
Edge,1771803925,133
Edge,1771803926,158
Edge,1771803927,492
Edge,1771803928,137
Edge,1771803929,346
Edge,1771803930,535
Edge,1771803931,329
Edge,1771803932,439
Edge,1771803933,253
Edge,1771803934,105
Edge,1771803935,100
Edge,1771803936,89
Edge,1771803937,146
Edge,1771803938,1265
Edge,1771803939,7388
Edge,1771803940,3257
Edge,1771803941,294
Edge,1771803942,1104
Edge,1771803943,488
Edge,1771803944,537
Edge,1771803945,249
Edge,1771803946,556
Edge,1771803947,787
Edge,1771803948,1016
Edge,1771803949,748
Edge,1771803950,117
Edge,1771803951,112
Edge,1771803952,410
Edge,1771803953,523
Edge,1771803954,113
Edge,1771803955,99
Edge,1771803956,492
Edge,1771803957,91
Edge,1771803958,265
Edge,1771803959,143
Edge,1771803961,97
Edge,1771803962,157
Edge,1771803963,469
Edge,1771803964,136
Edge,1771803965,89
Edge,1771803966,131
Edge,1771803967,457
Edge,1771803968,370
Edge,1771803969,309
Edge,1771803970,1560
Edge,1771803971,811
Edge,1771803972,271
Edge,1771803973,458
Edge,1771803974,323
Edge,1771803975,633
Edge,1771803976,82
Edge,1771803977,96
Edge,1771803978,61
Edge,1771803979,78
Edge,1771803980,2099
Edge,1771803981,1082
Edge,1771803982,485
Edge,1771803983,909
Edge,1771803984,771
Edge,1771803985,473
Edge,1771803986,579
Edge,1771803987,1073
Edge,1771803988,471
Edge,1771803989,625
Edge,1771803990,340
Edge,1771803991,985
Edge,1771803992,562
Edge,1771803993,663
Edge,1771803994,289
Edge,1771803995,345
Edge,1771803996,366
Edge,1771803997,303
Edge,1771803998,769
Edge,1771803999,556
Edge,1771804000,395
Edge,1771804001,316
Edge,1771804002,647
Edge,1771804003,270
Edge,1771804004,301
Edge,1771804005,309
Edge,1771804007,521
Edge,1771804008,310
Edge,1771804009,665
Edge,1771804010,554
Comet,1771804048,3815
Comet,1771804049,633
Comet,1771804050,210
Comet,1771804051,199
Comet,1771804052,192
Comet,1771804053,1769
Comet,1771804054,9990
Comet,1771804055,5033
Comet,1771804056,1392
Comet,1771804057,1111
Comet,1771804058,1360
Comet,1771804059,2307
Comet,1771804060,1452
Comet,1771804061,1676
Comet,1771804062,5548
Comet,1771804063,6187
Comet,1771804064,2911
Comet,1771804065,474
Comet,1771804066,410
Comet,1771804067,240
Comet,1771804068,133
Comet,1771804069,140
Comet,1771804070,257
Comet,1771804071,1741
Comet,1771804072,3329
Comet,1771804073,7324
Comet,1771804074,3085
Comet,1771804075,1149
Comet,1771804076,1007
Comet,1771804077,797
Comet,1771804078,722
Comet,1771804079,694
Comet,1771804080,796
Comet,1771804081,1178
Comet,1771804082,6260
Comet,1771804084,6226
Comet,1771804085,5765
Comet,1771804086,1476
Comet,1771804087,507
Comet,1771804088,653
Comet,1771804089,991
Comet,1771804090,263
Comet,1771804091,359
Comet,1771804092,419
Comet,1771804093,198
Comet,1771804094,708
Comet,1771804095,175
Comet,1771804096,148
Comet,1771804097,389
Comet,1771804098,1915
Comet,1771804099,686
Comet,1771804100,135
Comet,1771804101,198
Comet,1771804102,805
Comet,1771804103,639
Comet,1771804104,627
Comet,1771804105,212
Comet,1771804106,93
Comet,1771804107,298
Comet,1771804108,2233
Comet,1771804109,2622
Comet,1771804110,262
Comet,1771804111,170
Comet,1771804112,400
Comet,1771804113,547
Comet,1771804114,337
Comet,1771804115,102
Comet,1771804116,337
Comet,1771804117,151
Comet,1771804118,621
Comet,1771804119,151
Comet,1771804120,106
Comet,1771804121,63
Comet,1771804122,152
Comet,1771804123,405
Comet,1771804124,112
Comet,1771804125,6682
Comet,1771804126,6302
Comet,1771804127,2854
Comet,1771804128,364
Comet,1771804129,1381
Comet,1771804131,175
Comet,1771804132,132
Comet,1771804133,169
Comet,1771804134,1139
Comet,1771804135,168
Comet,1771804136,1279
Comet,1771804137,762
Comet,1771804138,292
Comet,1771804139,222
Comet,1771804140,394
Comet,1771804141,107
Comet,1771804142,260
Comet,1771804143,333
Comet,1771804144,1195
Comet,1771804145,178
Comet,1771804146,375
Comet,1771804147,158
Comet,1771804148,503
Comet,1771804149,114
Comet,1771804150,107
Comet,1771804151,79
Comet,1771804152,192
Comet,1771804153,102
Comet,1771804154,426
Comet,1771804155,128
Comet,1771804156,311
Comet,1771804157,189
Comet,1771804158,140
Comet,1771804159,743
Comet,1771804160,215
Comet,1771804161,117
Comet,1771804162,178
Comet,1771804163,560
Comet,1771804164,429
Comet,1771804165,597
Zen,1771804609,4737
Zen,1771804610,2994
Zen,1771804611,2416
Zen,1771804612,1860
Zen,1771804613,4122
Zen,1771804614,5754
Zen,1771804615,2220
Zen,1771804616,2984
Zen,1771804617,2110
Zen,1771804618,2073
Zen,1771804619,1421
Zen,1771804620,1180
Zen,1771804621,1195
Zen,1771804622,513
Zen,1771804623,1239
Zen,1771804624,1082
Zen,1771804625,795
Zen,1771804626,1623
Zen,1771804627,431
Zen,1771804628,2441
Zen,1771804629,3585
Zen,1771804630,1942
Zen,1771804631,1777
Zen,1771804632,1100
Zen,1771804634,1487
Zen,1771804635,1135
Zen,1771804636,2461
Zen,1771804637,3397
Zen,1771804638,1578
Zen,1771804639,1542
Zen,1771804640,1373
Zen,1771804641,1318
Zen,1771804642,1387
Zen,1771804643,1297
Zen,1771804644,1453
Zen,1771804645,1060
Zen,1771804646,1604
Zen,1771804647,1690
Zen,1771804648,2045
Zen,1771804649,814
Zen,1771804650,947
Zen,1771804651,1646
Zen,1771804652,1853
Zen,1771804653,543
Zen,1771804654,1251
Zen,1771804655,1707
Zen,1771804656,4654
Zen,1771804657,3144
Zen,1771804658,1815
Zen,1771804659,2171
Zen,1771804660,1978
Zen,1771804661,1222
Zen,1771804662,1264
Zen,1771804663,608
Zen,1771804664,614
Zen,1771804665,869
Zen,1771804666,1946
Zen,1771804667,911
Zen,1771804668,863
Zen,1771804669,504
Zen,1771804670,937
Zen,1771804671,763
Zen,1771804672,455
Zen,1771804673,1550
Zen,1771804674,5388
Zen,1771804675,5316
Zen,1771804676,4931
Zen,1771804677,2958
Zen,1771804678,3672
Zen,1771804679,6661
Zen,1771804680,6065
Zen,1771804681,1095
Zen,1771804682,2225
Zen,1771804683,1472
Zen,1771804684,5871
Zen,1771804686,5587
Zen,1771804687,2805
Zen,1771804688,3528
Zen,1771804689,4243
Zen,1771804690,6790
Zen,1771804691,6901
Zen,1771804692,1542
Zen,1771804693,1421
Zen,1771804694,1499
Zen,1771804695,2441
Zen,1771804696,2210
Zen,1771804697,2880
Zen,1771804698,2248
Zen,1771804699,2487
Zen,1771804700,2212
Zen,1771804701,2263
Zen,1771804702,2186
Zen,1771804703,2023
Zen,1771804704,2627
Zen,1771804705,2611
Zen,1771804706,2269
Zen,1771804707,2609
Zen,1771804708,1864
Zen,1771804709,2325
Zen,1771804710,2249
Zen,1771804711,2150
Zen,1771804712,2237
Zen,1771804713,2396
Zen,1771804714,2170
Zen,1771804715,2246
Zen,1771804716,2606
Zen,1771804717,2596
Zen,1771804718,2443
Zen,1771804719,2465
Zen,1771804720,2043
Zen,1771804721,2404
Zen,1771804722,2473
Zen,1771804723,2528
Zen,1771804724,2158
Zen,1771804725,2334
Zen,1771804726,2599
ChatGPT Atlas,1771807713,2401
ChatGPT Atlas,1771807714,455
ChatGPT Atlas,1771807715,655
ChatGPT Atlas,1771807716,637
ChatGPT Atlas,1771807717,871
ChatGPT Atlas,1771807718,1564
ChatGPT Atlas,1771807719,1474
ChatGPT Atlas,1771807720,2615
ChatGPT Atlas,1771807721,3147
ChatGPT Atlas,1771807722,1820
ChatGPT Atlas,1771807723,3076
ChatGPT Atlas,1771807724,722
ChatGPT Atlas,1771807725,493
ChatGPT Atlas,1771807726,558
ChatGPT Atlas,1771807727,925
ChatGPT Atlas,1771807728,1124
ChatGPT Atlas,1771807729,708
ChatGPT Atlas,1771807730,734
ChatGPT Atlas,1771807731,756
ChatGPT Atlas,1771807732,438
ChatGPT Atlas,1771807733,446
ChatGPT Atlas,1771807734,777
ChatGPT Atlas,1771807735,563
ChatGPT Atlas,1771807736,1197
ChatGPT Atlas,1771807737,570
ChatGPT Atlas,1771807738,810
ChatGPT Atlas,1771807739,449
ChatGPT Atlas,1771807740,447
ChatGPT Atlas,1771807741,421
ChatGPT Atlas,1771807742,578
ChatGPT Atlas,1771807743,244
ChatGPT Atlas,1771807744,117
ChatGPT Atlas,1771807745,125
ChatGPT Atlas,1771807746,736
ChatGPT Atlas,1771807747,441
ChatGPT Atlas,1771807748,1024
ChatGPT Atlas,1771807749,180
ChatGPT Atlas,1771807750,312
ChatGPT Atlas,1771807751,242
ChatGPT Atlas,1771807752,359
ChatGPT Atlas,1771807753,230
ChatGPT Atlas,1771807754,327
ChatGPT Atlas,1771807755,2040
ChatGPT Atlas,1771807756,522
ChatGPT Atlas,1771807757,468
ChatGPT Atlas,1771807758,534
ChatGPT Atlas,1771807759,575
ChatGPT Atlas,1771807760,410
ChatGPT Atlas,1771807761,696
ChatGPT Atlas,1771807762,108
ChatGPT Atlas,1771807763,1006
ChatGPT Atlas,1771807764,1293
ChatGPT Atlas,1771807765,692
ChatGPT Atlas,1771807766,286
